experiment_id,seed,spec,model,target,train_weeks,val_weeks,test_weeks,n_features,pos_train,pos_val,pos_test,scoreable,pr_auc_raw,roc_auc_raw,n_unique_raw,pr_auc_cal,roc_auc_cal,n_unique_cal,status
E3|propagation_vulnerability|C2|logreg|seed202,202,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|lgbm|seed202,202,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|logreg|seed202,202,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,23,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|M0|deterministic|seed303,303,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed303,303,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|logreg|seed303,303,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|lgbm|seed303,303,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|logreg|seed303,303,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|lgbm|seed303,303,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|logreg|seed303,303,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|lgbm|seed303,303,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|logreg|seed303,303,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|lgbm|seed303,303,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|logreg|seed303,303,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|lgbm|seed303,303,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C3|logreg|seed303,303,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,11,0,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|M0|deterministic|seed404,404,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,0,4,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed404,404,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|A|logreg|seed404,404,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|B|lgbm|seed404,404,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|B|logreg|seed404,404,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C|lgbm|seed404,404,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C|logreg|seed404,404,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C1|lgbm|seed404,404,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C1|logreg|seed404,404,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C2|lgbm|seed404,404,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C2|logreg|seed404,404,C2,logreg,propagation_vulnerability,1-78,87-118,127-156,65,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C3|lgbm|seed404,404,C3,lgbm,propagation_vulnerability,1-78,87-118,127-156,63,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|C3|logreg|seed404,404,C3,logreg,propagation_vulnerability,1-78,87-118,127-156,63,0,4,0,False,,,,,,,no_train_positives
E3|propagation_vulnerability|M0|deterministic|seed505,505,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|lgbm|seed505,505,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|A|logreg|seed505,505,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|lgbm|seed505,505,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|B|logreg|seed505,505,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|lgbm|seed505,505,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C|logreg|seed505,505,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|lgbm|seed505,505,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C1|logreg|seed505,505,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,12,3,0,False,,,,,,,unscoreable_no_test_positives
E3|propagation_vulnerability|C2|lgbm|seed505,505,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,12,3,0,False,,,,,,,unscoreable_no_test_positives
