experiment_id,seed,target,spec,model,status,pos_test,pr_auc,roc_auc
E4|propagation_vulnerability|B|lgbm|seed606,606,propagation_vulnerability,B,lgbm,ok,3,0.0018106778649771595,0.9041704870662111
E4|propagation_vulnerability|B|logreg|seed606,606,propagation_vulnerability,B,logreg,ok,3,0.011385769716193626,0.985663082437276
E4|propagation_vulnerability|C|lgbm|seed606,606,propagation_vulnerability,C,lgbm,ok,3,0.0011579359954118577,0.6480786863382513
E4|propagation_vulnerability|C|logreg|seed606,606,propagation_vulnerability,C,logreg,ok,3,0.012017815954823829,0.9863854852602039
E4|propagation_vulnerability|C2|lgbm|seed606,606,propagation_vulnerability,C2,lgbm,ok,3,0.003675607073615492,0.956516907004529
E4|propagation_vulnerability|C2|logreg|seed606,606,propagation_vulnerability,C2,logreg,ok,3,0.024584387217323086,0.9935539440415659
E4|propagation_vulnerability|C3|lgbm|seed606,606,propagation_vulnerability,C3,lgbm,ok,3,0.0004108821199293273,0.5964268844989025
E4|propagation_vulnerability|C3|logreg|seed606,606,propagation_vulnerability,C3,logreg,ok,3,0.01615622032288699,0.9891917423800395
E4|rt_new_stress|A|lgbm|seed606,606,rt_new_stress,A,lgbm,ok,15,0.11729677201963366,0.6792407175636213
E4|rt_new_stress|A|logreg|seed606,606,rt_new_stress,A,logreg,ok,15,0.20164051449566323,0.6423974412460018
E4|rt_new_stress|B|lgbm|seed606,606,rt_new_stress,B,lgbm,ok,15,0.1590095550893821,0.7626811291892645
E4|rt_new_stress|B|logreg|seed606,606,rt_new_stress,B,logreg,ok,15,0.18556667095453008,0.6623612849395077
E4|rt_new_stress|C|lgbm|seed606,606,rt_new_stress,C,lgbm,ok,15,0.07843006452567096,0.6781226533166458
E4|rt_new_stress|C|logreg|seed606,606,rt_new_stress,C,logreg,ok,15,0.18588449491616743,0.6679794187178418
E4|rt_new_stress|C2|lgbm|seed606,606,rt_new_stress,C2,lgbm,ok,15,0.22228136855894298,0.7917730496453901
E4|rt_new_stress|C2|logreg|seed606,606,rt_new_stress,C2,logreg,ok,15,0.18635853699768476,0.6439438186622166
E4|rt_new_stress|C3|lgbm|seed606,606,rt_new_stress,C3,lgbm,ok,15,0.19174341735322845,0.6704185787790293
E4|rt_new_stress|C3|logreg|seed606,606,rt_new_stress,C3,logreg,ok,15,0.2033284925258287,0.6763454317897372
,707,propagation_vulnerability,,,unscoreable,0,,
E4|rt_new_stress|A|lgbm|seed707,707,rt_new_stress,A,lgbm,ok,12,0.20345862446164645,0.6173812701590479
E4|rt_new_stress|A|logreg|seed707,707,rt_new_stress,A,logreg,ok,12,0.25117094105941135,0.6861236236236237
E4|rt_new_stress|B|lgbm|seed707,707,rt_new_stress,B,lgbm,ok,12,0.20112134110646102,0.7660542486931375
E4|rt_new_stress|B|logreg|seed707,707,rt_new_stress,B,logreg,ok,12,0.25111198551584923,0.6698921143365587
E4|rt_new_stress|C|lgbm|seed707,707,rt_new_stress,C,lgbm,ok,12,0.058978059394769716,0.619796880213547
E4|rt_new_stress|C|logreg|seed707,707,rt_new_stress,C,logreg,ok,12,0.2512699020115298,0.7117951284617952
E4|rt_new_stress|C2|lgbm|seed707,707,rt_new_stress,C2,lgbm,ok,12,0.19981156026133923,0.6535980424869314
E4|rt_new_stress|C2|logreg|seed707,707,rt_new_stress,C2,logreg,ok,12,0.23119685570509196,0.7679067956845734
E4|rt_new_stress|C3|lgbm|seed707,707,rt_new_stress,C3,lgbm,ok,12,0.1994982888662452,0.7401846290735179
E4|rt_new_stress|C3|logreg|seed707,707,rt_new_stress,C3,logreg,ok,12,0.25137433877565957,0.7217981870759649
,808,propagation_vulnerability,,,unscoreable,0,,
E4|rt_new_stress|A|lgbm|seed808,808,rt_new_stress,A,lgbm,ok,20,0.12631295082371716,0.7211331385642739
E4|rt_new_stress|A|logreg|seed808,808,rt_new_stress,A,logreg,ok,20,0.2406314284586142,0.765534223706177
E4|rt_new_stress|B|lgbm|seed808,808,rt_new_stress,B,lgbm,ok,20,0.09790385991462622,0.7210141903171954
E4|rt_new_stress|B|logreg|seed808,808,rt_new_stress,B,logreg,ok,20,0.1634716252468431,0.6733722871452421
E4|rt_new_stress|C|lgbm|seed808,808,rt_new_stress,C,lgbm,ok,20,0.09790385991462622,0.7210141903171954
E4|rt_new_stress|C|logreg|seed808,808,rt_new_stress,C,logreg,ok,20,0.15963978039255353,0.755271285475793
E4|rt_new_stress|C2|lgbm|seed808,808,rt_new_stress,C2,lgbm,ok,20,0.06523344668334788,0.6489628547579298
E4|rt_new_stress|C2|logreg|seed808,808,rt_new_stress,C2,logreg,ok,20,0.1689845548843171,0.6786853088480802
E4|rt_new_stress|C3|lgbm|seed808,808,rt_new_stress,C3,lgbm,ok,20,0.09790385991462622,0.7210141903171954
E4|rt_new_stress|C3|logreg|seed808,808,rt_new_stress,C3,logreg,ok,20,0.15190297354379564,0.5784974958263773
E4|propagation_vulnerability|A|lgbm|seed909,909,propagation_vulnerability,A,lgbm,ok,8,0.31487906423473433,0.9731956721147431
E4|propagation_vulnerability|A|logreg|seed909,909,propagation_vulnerability,A,logreg,ok,8,0.7185786435786434,0.9996768679119412
E4|propagation_vulnerability|B|lgbm|seed909,909,propagation_vulnerability,B,lgbm,ok,8,0.31275,0.7074091060707138
E4|propagation_vulnerability|B|logreg|seed909,909,propagation_vulnerability,B,logreg,ok,8,0.3750187312687313,0.9994267011340894
E4|propagation_vulnerability|C|lgbm|seed909,909,propagation_vulnerability,C,lgbm,ok,8,0.31275,0.7074091060707138
E4|propagation_vulnerability|C|logreg|seed909,909,propagation_vulnerability,C,logreg,ok,8,0.3750187312687313,0.9994267011340894
E4|propagation_vulnerability|C2|lgbm|seed909,909,propagation_vulnerability,C2,lgbm,ok,8,0.31275,0.7074091060707138
E4|propagation_vulnerability|C2|logreg|seed909,909,propagation_vulnerability,C2,logreg,ok,8,0.3824592074592075,0.999447548365577
E4|propagation_vulnerability|C3|lgbm|seed909,909,propagation_vulnerability,C3,lgbm,ok,8,0.42105263157894735,0.9995413609072715
E4|propagation_vulnerability|C3|logreg|seed909,909,propagation_vulnerability,C3,logreg,ok,8,0.650296442687747,0.9995830553702468
E4|rt_new_stress|A|lgbm|seed909,909,rt_new_stress,A,lgbm,ok,28,0.139502439617414,0.5803153787408716
E4|rt_new_stress|A|logreg|seed909,909,rt_new_stress,A,logreg,ok,28,0.29722803205821713,0.7678810080664408
E4|rt_new_stress|B|lgbm|seed909,909,rt_new_stress,B,lgbm,ok,28,0.15638980781183354,0.6063627631139326
E4|rt_new_stress|B|logreg|seed909,909,rt_new_stress,B,logreg,ok,28,0.2777749656966737,0.7624695718581451
E4|rt_new_stress|C|lgbm|seed909,909,rt_new_stress,C,lgbm,ok,28,0.15638980781183354,0.6063627631139326
E4|rt_new_stress|C|logreg|seed909,909,rt_new_stress,C,logreg,ok,28,0.31058233788248624,0.7827400840055367
E4|rt_new_stress|C2|lgbm|seed909,909,rt_new_stress,C2,lgbm,ok,28,0.15637279212690017,0.603901663405088
E4|rt_new_stress|C2|logreg|seed909,909,rt_new_stress,C2,logreg,ok,28,0.295069841584148,0.7905708558064054
E4|rt_new_stress|C3|lgbm|seed909,909,rt_new_stress,C3,lgbm,ok,28,0.2981774401357982,0.6899223187437353
