experiment_id,target,regime,model_spec,seed,pr_auc,roc_auc,n_trees,pos_test,n_unique_pred
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed303,rt_new_stress,balanced_weight,B+P5_process,303,0.26649848126358866,0.7181215579105475,1,16,9
imbalance|rt_new_stress|low_min_child|B|seed303,rt_new_stress,low_min_child,B,303,0.23010010314429788,0.6730614778037384,27,16,215
imbalance|rt_new_stress|low_min_child|B+P5_process|seed303,rt_new_stress,low_min_child,B+P5_process,303,0.271528450160333,0.7616300901201603,16,16,197
imbalance|rt_new_stress|balanced+lowmin|B|seed303,rt_new_stress,balanced+lowmin,B,303,0.004544919454770756,0.6641068299399199,1,16,7
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed303,rt_new_stress,balanced+lowmin,B+P5_process,303,0.004544919454770756,0.6641068299399199,1,16,7
imbalance|rt_new_stress|default|B|seed404,rt_new_stress,default,B,404,0.258884963244231,0.6787655711266822,3,12,18
imbalance|rt_new_stress|default|B+P5_process|seed404,rt_new_stress,default,B+P5_process,404,0.258884963244231,0.6787655711266822,3,12,18
imbalance|rt_new_stress|balanced_weight|B|seed404,rt_new_stress,balanced_weight,B,404,0.08476834969611968,0.748585390946502,1,12,3
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed404,rt_new_stress,balanced_weight,B+P5_process,404,0.08476834969611968,0.748585390946502,1,12,3
imbalance|rt_new_stress|low_min_child|B|seed404,rt_new_stress,low_min_child,B,404,0.4590245931650419,0.7007285062840618,18,12,103
imbalance|rt_new_stress|low_min_child|B+P5_process|seed404,rt_new_stress,low_min_child,B+P5_process,404,0.3596716695268926,0.710912301190079,11,12,65
imbalance|rt_new_stress|balanced+lowmin|B|seed404,rt_new_stress,balanced+lowmin,B,404,0.024739518765730505,0.7573128684239796,3,12,22
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed404,rt_new_stress,balanced+lowmin,B+P5_process,404,0.024866736319418648,0.7898141196752307,3,12,22
imbalance|rt_new_stress|default|B|seed505,rt_new_stress,default,B,505,0.10538325980066811,0.5454069282136895,7,20,120
imbalance|rt_new_stress|default|B+P5_process|seed505,rt_new_stress,default,B+P5_process,505,0.10538325980066811,0.5454069282136895,7,20,120
imbalance|rt_new_stress|balanced_weight|B|seed505,rt_new_stress,balanced_weight,B,505,0.0017701627899810745,0.5087604340567613,3,20,17
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed505,rt_new_stress,balanced_weight,B+P5_process,505,0.0019544552502421125,0.5074436560934892,3,20,18
imbalance|rt_new_stress|low_min_child|B|seed505,rt_new_stress,low_min_child,B,505,0.10192117268811775,0.5725020868113523,2,20,15
imbalance|rt_new_stress|low_min_child|B+P5_process|seed505,rt_new_stress,low_min_child,B+P5_process,505,0.10192117268811775,0.5725020868113523,2,20,15
imbalance|rt_new_stress|balanced+lowmin|B|seed505,rt_new_stress,balanced+lowmin,B,505,0.0019557770759828447,0.5353130217028381,3,20,20
imbalance|rt_new_stress|balanced+lowmin|B+P5_process|seed505,rt_new_stress,balanced+lowmin,B+P5_process,505,0.001916604774070939,0.5357909015025042,53,20,168
imbalance|rt_new_stress|default|B|seed606,rt_new_stress,default,B,606,0.1572238110652018,0.6970769016826589,3,15,42
imbalance|rt_new_stress|default|B+P5_process|seed606,rt_new_stress,default,B+P5_process,606,0.12718632829322887,0.8714170490891392,61,15,353
imbalance|rt_new_stress|balanced_weight|B|seed606,rt_new_stress,balanced_weight,B,606,0.005364436800163271,0.6128243637880685,30,15,278
imbalance|rt_new_stress|balanced_weight|B+P5_process|seed606,rt_new_stress,balanced_weight,B+P5_process,606,0.017551526144218142,0.5390905298289528,33,15,143
imbalance|rt_new_stress|low_min_child|B|seed606,rt_new_stress,low_min_child,B,606,0.2336676781869713,0.5756139618968155,7,15,159
imbalance|rt_new_stress|low_min_child|B+P5_process|seed606,rt_new_stress,low_min_child,B+P5_process,606,0.21363073039695982,0.6004227506605478,2,15,22
imbalance|rt_new_stress|balanced+lowmin|B|seed606,rt_new_stress,balanced+lowmin,B,606,0.13478790170512042,0.5696898901404533,6,15,86
